"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R12,R69,R14,R17,R16,R15,R11,R13,R10";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";9;"4k7";;;
2;"R68,R67,R43,R85,R108,R109,R110,R111,R112,R113";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";10;"4K7";;;
3;"D2,D1,D3,D4,DBR1,DBR5,DBR4,DBR2,D6,D7,D9,D10,DBR3,P11,P12,P13,P14,P15,P16,P17,P18,D*1,D8";"D_DO-35_SOD27_P7.62mm_Horizontal";23;"1N4148";;;
4;"C41,C16,C22,C31,C38,C40,C5,C48,C35,C39,C46,C176,C8,C47,C33";"C_THT_508_254";15;"100n";;;
5;"C23,C7,C32,C12,C13,C25,C21,C20,C26,C11,C29,C28,C27,C19,C10,C9,C2,C1,C3,C4,C17,C18,C104,C102,C101,C103";"C_THT_762_254";26;"100n";;;
6;"U86,U74,U73,U72,U71";"DIP-14_W7.62mm";5;"CDB407";;;
7;"U78,U77,U83,U81,U60,U82";"DIP-14_W7.62mm";6;"74LS95";;;
8;"U80,U51,U41,U85,U58";"DIP-16_W7.62mm";5;"74LS157";;;
9;"U88,U35";"DIP-14_W7.62mm";2;"74LS86";;;
10;"U37,U17,U16,U54,U55,U87";"DIP-14_W7.62mm";6;"74LS00";;;
11;"U52,U14";"DIP-14_W7.62mm";2;"74LS11";;;
12;"U36,U15,U2,U61";"DIP-14_W7.62mm";4;"74LS74";;;
13;"U76";"DIP-24_W15.24mm";1;"P8212";;;
14;"U90";"DIP-40_W15.24mm";1;"Z80CPU";;;
15;"U75,U59,U42,U18,U23,U1,U84,U91";"DIP-24_W15.24mm";8;"MMN2716";;;
16;"U68,U69,U67,U66,U64,U63,U46,U62,U50,U48,U45,U49,U47,U8,U31,U25,U10,U6,U65,U29,U9,U26,U43,U24,U44,U28,U30,U7,U27,U4,U11,U5";"DIP-16_W7.62mm";32;"MMN4116";;;
17;"U70,U56";"DIP-16_W7.62mm";2;"74LS42";;;
18;"U57,U53";"DIP-14_W7.62mm";2;"74LS04";;;
19;"U38,U19";"DIP-14_W7.62mm";2;"74LS08";;;
20;"U33,U32,U12,U13";"DIP-16_W7.62mm";4;"74LS193";;;
21;"U3,U20,U39,U22";"DIP-16_W7.62mm";4;"74LS153";;;
22;"U21";"DIP-14_W7.62mm";1;"74LS51";;;
23;"U40";"DIP-14_W7.62mm";1;"74LS10";;;
24;"R54,R50,R66,R63,R55,R65,R62,R58,R51,R64,R61,R60,R56,R49,R46,R57,R45,R47,R53,R52,R59,R35,R38";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";23;"680";;;
25;"R48,R92";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"150";;;
26;"JP1,JP3,JP5,JP7,JP9";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";5;"Jumper_NC_Small";;;
27;"JP6,JP4,JP10,JP8,JP2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";5;"Jumper_NO_Small";;;
28;"U89";"DIP-28_W15.24mm";1;"27C128";;;
29;"U34";"DIP-14_W7.62mm";1;"74LS20";;;
30;"R72,R78,R79,R80,R81,R82,R83";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";7;"470";;;
31;"R74,R86";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"220";;;
32;"R75,R76,R77,R71,R91";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";5;"100";;;
33;"R93";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"75";;;
34;"R22,R73,R20,R23,R31,R34,R42,R96,R26,R27,R94,R6";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";12;"1K";;;
35;"H1";"cobra_3.0_front_copper";1;"front_CU";;;
36;"R2,R3,R4,R5,R1,R7,R8,R18,R19,R21,R24,R25,R32,R33,R41,R28,R29,R30,R36,R37,R39,R40";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";22;"33";;;
37;"R70";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"330";;;
38;"R44";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"360";;;
39;"C42";"CP_Radial_D8.0mm_P5.00mm";1;"220u";;;
40;"RN1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"240";;;
41;"C14,C6";"C_THT_762_254";2;"150";;;
42;"R88,R89,R90,R95,R97,R98";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";6;"10K";;;
43;"R84,R87,R9";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";3;"2K2";;;
44;"Q2";"TO-92-Cobra";1;"2N2219";;;
45;"J3,J4,J9";"DIN-5";3;"DIN-5";;;
46;"U92";"DIP-8_W7.62mm";1;"LM741";;;
47;"CAT1,CHB1,CCS1";"C_THT_508_254";3;"150";;;
48;"J1,J6,JA5,JB5";"PinHeader_1x10_P2.54mm_Vertical";4;"Conn_01x10";;;
49;"C43";"CP_Axial_L25.0mm_D9.0mm_P30.00mm_Horizontal";1;"1500uF";;;
50;"H15,H5,H16,H17,H18,H21,H22,H24,H25,H8,H2,H4,H6";"MountingHole_2.5mm_Pad";13;"MountingHole_Pad";;;
51;"C24";"C_THT_508_254";1;"220p";;;
52;"C30";"C_THT_508_254";1;"15p";;;
53;"Y1";"Crystal_HC18-U_Vertical";1;"14MHz";;;
54;"C44";"C_THT_508_254";1;"100u";;;
55;"H23,H7";"MountingHole_2.5mm_Pad";2;"e";;;
56;"H3";"cobra_3.0_back_copper";1;"Back_CU";;;
57;"C15,C45";"C_THT_508_254";2;"10u";;;
58;"C36";"C_THT_762_254";1;"270";;;
59;"CCC1,CVR1";"C_THT_508_254";2;"390";;;
60;"R106,R99,R100,R101,R102,R103,R104,R105";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";8;"8K2";;;
61;"U79";"DIP-40_W15.24mm";1;"8255";;;
62;"R107";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"2k2";;;
63;"D5";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"4V7";;;
64;"J2";"DIN41612_R_3x32_Male_Horizontal_THT";1;"C96ABC";;;
65;"JP35,JP32,JP14,JP44,JP12,JP40,JP26,JP24,JP11,JP15,JP17,JP18,JP43,JP23,JP31,JP38,JP29,JP34,JP33,JP13,JP30,JP28,JP37,JP42,JP27,JP16,JP21,JP22,JP36,JP41,JP19,JP39,JP20,JP25";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";34;"SolderJumper_2_Open";;;
66;"J7";"PinHeader_2x10_P2.54mm_Vertical";1;"Conn_02x10_Odd_Even_MountingPin";;;
67;"T2";"TO-92-CobraRev";1;"BC327";;;
68;"JP45";"SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm";1;"SolderJumper_3_Open";;;
69;"JEXA1,JEXB1";"PinHeader_1x15_P2.54mm_Vertical";2;"Conn_01x15";;;
70;"RSW1";"Reset_Switch";1;"~";;;
71;"J8";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01_Male";;;
72;"J5";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01_Male";;;
